company,email,site_url,audit_notes,pay_signals,skin_pair,demo_url_a,demo_url_b,status,reply_class,checkout_status,intake_status,delivered_url,source,do_not_contact,quoted_price,vertical,notes,approval_seq,owner_approved_at,sent_at,bounce_at,bounce_type,reply_at,reply_type,meeting_at,quote_at,order_at,order_amount_yen,template_version,followup_sent_at
株式会社新見工務店,niimi-230@outlook.jp,"http://niimikoumuten.com/",2026-08-20実機+audit: (1)HTTPSでない (2)更新感が弱い/放置気味 (3)導線はtelありだが全体が古い静的HP,法人・公共工事実績・業歴約30年,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/niimi-koumuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/niimi-koumuten/b-atelier/",sent,,,unpaid,not_sent,,prospects,55000,koumuten,初回送信済 2026-08-20 / 旧価格55k。返信時は66k決済メール禁止→オーナーが55kで対応,,,2026-08-20,,,,,,,,,v1_initial_55k,
株式会社福澤工務店,construction@k-fukuzawa.co.jp,"http://www.k-fukuzawa.co.jp/",2026-08-20 G1: C0=厚木公式は本URLのみ(北海道同名fukuzawa-k.comは別社)。C1=最終http(httpsは証明書不備かつhttpへ301)。C2=tel:0。C3=viewportなし。粗:(1)https未整備(2)viewportなし(3)tel:なし,法人・資本金2000万・一級建築士事務所・1965年設立,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/fukuzawa-koumuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/fukuzawa-koumuten/b-atelier/",sent,,,unpaid,not_sent,,hunter,55000,koumuten,初回送信済 2026-08-21 / Gmail id 1a021db584e48325 / 旧価格55k。返信時は66k決済メール禁止→オーナーが55kで対応,,,2026-08-21,,,,,,,,,v1_initial_55k,
株式会社日南工務店,info@nichinankoumuten.jp,"http://www.nichinankoumuten.jp/",2026-08-20 G1: C0=公式はこのドメインのみ。C1=最終http(httpsは自己署名→httpへ301)。C2=tel:0(会社案内に番号テキストのみ)。C3=viewportあり。更新お知らせは2016止。粗:(1)https未整備(2)tel:なし(3)更新停止感,法人・創業昭和41・建設業許可,"d-signboard,c-daylight","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nichinan-koumuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nichinan-koumuten/c-daylight/",sent,,,unpaid,not_sent,,hunter,55000,koumuten,初回送信済 2026-08-22 / Gmail id 1a02701a6b334226 / 旧価格55k。返信時は66k決済メール禁止→オーナーが55kで対応,,,2026-08-22,,,,,,,,,v1_initial_55k,
マキノ祭典(株式会社まきの),kazmaki@makinosaiten.co.jp,"http://www.makinosaiten.co.jp/",2026-08-20 audit: .co.jpは古いが公式は別URL,0120・法人,"c-daylight,d-signboard","https://calcite-ai.github.io/calcite-demos/buyout-prospects/makino-saiten/c-daylight/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/makino-saiten/d-signboard/",paused,,,unpaid,not_sent,,prospects,66000,sougi,Phase2まで送信禁止（工務店優先）,,,,,,,,,,,,,
片平浩二税理士事務所,katahira.tax.office@kita-katahira.jp,"https://katahira-tax-office.com/",2026-08-20 audit: HTTPSあり・年〜2021。古さ中〜弱,法人税理士・地域活動,"b-atelier,a-sumi","https://calcite-ai.github.io/calcite-demos/buyout-prospects/katahira-tax/b-atelier/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/katahira-tax/a-sumi/",paused,,,unpaid,not_sent,,prospects,66000,zeirishi,Phase2まで送信禁止（工務店優先）,,,,,,,,,,,,,
新居浜葬儀社(愛結会館),niihamazouka@biscuit.ocn.ne.jp,"http://niihamasougisha.com/",2026-08-20: HTTPS・Last-Modified 2026-06。古さ弱,0120・法人・複数拠点,"c-daylight,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/niihama-sougi/c-daylight/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/niihama-sougi/b-atelier/",paused,,,unpaid,not_sent,,prospects,66000,sougi,Phase2まで送信禁止（工務店優先）,,,,,,,,,,,,,
小林隆行税理士事務所,takayuki@kobazei.net,"http://www.kobazei.net/",—,—,——,,,,paused,,,unpaid,not_sent,,prospects,true,66000,,,,,,,,,,,,,
株式会社テートーサービス,info@teto-s.com,"http://teto-s.com/",—,—,——,,,,paused,,,unpaid,not_sent,,prospects,true,66000,,,,,,,,,,,,,
渡辺会計事務所,watanabe-masato@tkcnf.or.jp,"http://www.watanabe-accountant.com/",—,—,——,,,,paused,,,unpaid,not_sent,,prospects,true,66000,,,,,,,,,,,,,
ワダケンホーム(有限会社和田建設),info@wadakenhome.co.jp,"http://www.wadakenhome.co.jp/",—,—,——,,,,paused,,,unpaid,not_sent,,prospects,true,66000,,,,,,,,,,,,,
株式会社ダンデ・ライズ,info@danderise.co.jp,"https://www.danderise.co.jp/",2026-08-20 C0不合格: 別公式 https://danderise.com/ あり(viewport+tel整備)。.co.jp側の粗で営業するとマキノ型,不動産・分譲・注文建築,,,,paused,,,unpaid,not_sent,,,66000,,2026-08-24 除外確認: C0不合格のまま（別公式 danderise.com 整備済）。送信禁止維持,,,,,,,,,,,,,
株式会社コーダイホーム,,"http://www.kohdai-home.co.jp/",2026-08-20: http・viewportなし・telなしは強いが、現行HTMLに公開メールなし(secureフォームのみ)。G0未達,法人・大手取引先,,,,,,paused,,,unpaid,not_sent,,,66000,,,,,,,,,,,,,
株式会社石坂工務店,info@ishizaka-info.com,"https://www.ishizaka-info.com/",2026-08-22 G1: C0=公式はishizaka-info.com（.jpは2011放置・フッター自身が.comをURL指定。別の新公式なし）。C1=最終https（httpは302でhttpsへ）。C2=tel:0。C3=viewportありだが#header-container width:917px固定で390pxは横スクロール。C4=更新2026-01（放置とは書かない）。粗:(1)tel:なし（番号テキストのみ）(2)固定幅917pxでスマホ横スクロール(3)旧ドメイン.jpが2011のまま.comへ未転送,法人・創業昭和43・資本金1000万・建設業許可・八王子市補助金登録業者,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/ishizaka-koumuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/ishizaka-koumuten/b-atelier/",paused,,,unpaid,not_sent,hunter,true,66000,koumuten,過去営業済2026-05-27（個人Gmail・旧ishizakaデモ）→buyout再送禁止。buyoutデモは参考用のみ,,,,,,,,,,,,,
石川工務店,info@waraku-i.com,"https://www.waraku-i.com/",2026-08-23 再診: C0=waraku-i.comのみ。C1=最終https。C2=tel:2。C3=viewportあり・レスポンシブ・2025更新コンテンツ。G1不合格=サイト新しく導線整備済(Hunter§5除外)。粗として使えない:user-scalable=no/WP5.7表記は差分訴求にならない,法人・西条/新居浜/今治エリア・家族経営,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/ishikawa-komuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/ishikawa-komuten/b-atelier/",paused,,,unpaid,not_sent,,hunter,,66000,koumuten,,,,,,,,,,,,,
株式会社中村工務店,naka241359@ybb.ne.jp,"https://nakamura.ohotk.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし(2)tel:なし. C0/C3は送信前再確認,法人・一級建築士事務所・北見,"d-signboard,b-atelier","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nakamura-koumuten/d-signboard/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/nakamura-koumuten/b-atelier/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-08-24 / Gmail id 1a0314ca8bcf7c6e / デモ公開 2026-08-24 / フォロー送信済 2026-09-09 / SMTP <f76c52a3-743a-7e09-fc62-8b9ca0f9c3a9@calcite-mail.jp>,1,2026-08-23,2026-08-24,,,,,,,,,v1_initial_66k,2026-09-09
