ランク,社名,業種,エリア,Google評価,レビュー数,HP有無,HP状態(詳細),HP URL,HP検証状況,住所,電話,メール,営業切り口,備考
S,株式会社松村建設,工務店(鉄骨/解体/リフォーム/土木/産廃),日野市,5.0,1,有(致命的に古い),2010-2013年制作・文字化け(Shift-JIS)・全画像・SSL未対応・スマホ非対応,http://www.matsumura-k.co.jp/,検証済(実機),〒191-0055 東京都日野市西平山5-41-13,042-583-0133,なし(電話/FAX/フォーム),10年放置サイトの全面刷新,FAX:042-582-3929 / 公共工事実績 / 創業30年超 / デモHP・請求書作成済
S,桜建設株式会社,総合建築業,日野市,5.0,1,有(致命的に古い),HTTP接続のみ・文字化け(Shift-JIS)・静的HTML(01〜08.html)・HTTPS時SSLエラー,http://www.sakura-kensetsu.com/,検証済(実機),東京都日野市三沢2-18-3,042-591-0630,なし,10年級の古サイト刷新(松村建設と同型),昭和24年創業 / 高幡不動の五重塔施工 / デモHP作成済
S,大賀諭税理士事務所,税理士・行政書士,日野市,不明,-,有(致命的に古い),2014年制作・文字化け(Shift-JIS)・全画像ボタン,http://ooga.jp/,検証済(実機),東京都日野市(立川/八王子も対応),要確認,なし(フォーム),古サイト刷新(士業の信頼性訴求),税理士+行政書士ワンストップ / 高単価業種
S,株式会社石坂工務店,工務店(新築/リフォーム),八王子市,不明,少,有(致命的に古い),SSL非対応・BMP画像使用・GIFアニメ・FC2ブログ連携・テーブルレイアウト・旧サイト(ishizaka-info.jp)放置で2ドメイン併存,http://www.ishizaka-info.com/,検証済(実機),東京都八王子市大塚1366,042-674-9242,info@ishizaka-info.com,SSL未対応+2ドメイン併存+BMP使用→全面刷新,★メール公開 / 創業40年超 / 2015年頃制作 / 営業メール送信済→buyout再送禁止
S,鈴木大建興業株式会社,工務店・一級建築士事務所(注文住宅/リノベ/不動産),葛飾区,不明,-,有(Amebaownd),Amebaownd無料サイトをHP代用・事業ごとにバラバラのAmebaowndサイト・独自ドメイン未取得,https://suzukidaiken.amebaownd.com/,検証済(実機),東京都葛飾区西新小岩3-39-5,080-5018-5610,suzukidaikenkougyou@gmail.com,一級建築士事務所がAmebaownd→独自HP統合提案,★Gmail公開 / 創業62年 / 事業多角化(工務店・設計・不動産・解体) / 営業メール送信済→buyout再送禁止
S,司法書士芝法務(川村有毅事務所),司法書士,港区,高評価(港区14社中おすすめ選出),-,有(古い),SSL非対応(http://)・jQuery1.9.1(2013年)・font-awesome4.3.0・2020年以降更新なし,http://shibalegal.com/,検証済(実機),東京都港区新橋6-14-4 新橋木嶋ビル4階,03-6809-6775,info@shibalegal.com,SSL非対応=不動産決済立会の「安心」と矛盾→刷新提案,★メール公開 / 士業高単価 / 不動産取引決済が主業務 / 営業メール送信済→buyout再送禁止
S,小林隆行税理士事務所,税理士(建設業/不動産業に強い),練馬区,高評価(練馬区おすすめ選出),-,有(古い),SSL非対応(http://)・Modernizr2.6.2(2013年)・求人ページに最低賃金960円記載(未更新),http://www.kobazei.net/,検証済(実機),東京都練馬区東大泉3-23-12,03-3925-6136,takayuki@kobazei.net,SSL非対応+古いHP→建設業クライアントと親和性高い,★メール公開 / 1997年開業 / 建設業に強い=カルサイト案件紹介の可能性 / 営業メール送信済→buyout再送禁止
A,株式会社野栄建設,工務店(塗装/リフォーム/屋根),日野市,5.0,3,無(要再確認),HP未確認。2026年1月設立の新会社のため未開設の可能性大,,要再確認,東京都日野市東豊田4-17-3,042-610-3091,なし,新規HP制作(開業期の立ち上げ支援),2026年1月設立の新会社
A,有限会社藤原工務店,工務店(内外装リニューアル),日野市,5.0,1,無(要再確認),社名検索では自社HP未発見,,要再確認,東京都日野市三沢3丁目,042-591-1085,なし,新規HP制作(要HP有無の最終確認),WB HOUSE加盟店
A,株式会社大舘工務,工務店(沈下修正含む),日野市,5.0,2,有(古い),2016年WordPress(Stinger8)・電話番号プレースホルダー放置・HTTP混在,https://ohdate-koumu.com/,検証済(実機),東京都日野市,要確認,なし,古いWordPressの刷新,不具合の指摘から入れる
A,有限会社小林住建,建築業(大工),日野市,不明,-,無(要再確認),社名検索では自社HP未発見(商工会ページのみ),,要再確認,東京都日野市百草1248-15,042-591-4141,なし,新規HP制作(職人の技を見せる),親子経営・百草で半世紀 / 代表:小林徹
A,有限会社ダイシン建築企画,設計業・建築業,日野市,不明,-,無(要再確認),社名検索では自社HP未発見(商工会ページのみ),,要再確認,東京都日野市万願寺3-15-12,042-584-9633,なし,新規HP制作(設計事務所の作品集),設計業=高単価 / 代表:大久保彰紀
A,いちょう葬縁,葬儀社,日野市,4.4,7,有(サブドメイン),STUDIO製・無料サブドメイン・独自ドメインなし,https://ichousoen.studio.site,検証済(実機),東京都日野市(多摩/八王子/稲城/町田/立川対応),042-506-7955,なし,独自ドメイン移行+SEO強化,STUDIO卒業提案
A,株式会社加藤鉄建,総合建設業・鉄骨工事業,日野市,不明,-,有(STUDIO),STUDIO製・モダン・独自ドメインあり,https://katotekken.com/,検証済(実機),東京都日野市栄町1-21-14,042-581-2280,なし,STUDIO卒業+SEO強化,昭和35年創業 / 鉄骨自社加工 / 公共工事実績
A,株式会社テートーサービス,エアコン工事・空調設備工事,府中市,不明,-,有(放置),SSL非対応(http://)・2022年HP開設後記事2件のみ・集客機能なし,http://teto-s.com/,検証済(実機),東京都府中市西府町2-14-1 北村ビル,042-304-6376,info@teto-s.com,SSL未対応+HP放置→空調は高単価業種,★メール公開 / 業歴20年 / 事業拡大中 / 営業メール送信済→buyout再送禁止
